PCode,PCode Name,Governorate,District,Cadastral,Local Name,Latitude,Longitude,Shelter Type,Status,Number of tents,Number of Individuals,Date of update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Number of 1000 Litre Tanks,Type of Water Source,Waste Disposal,Type of Contract
#loc+code,#loc,#adm1,#adm2,#adm3,#loc+localname,#geo+lat,#geo+lon,#shelter+type,#status,#shelter+tents,#population,#date,#org,#date+updated,#date+discovered,#date+created,#wash+latrines,#wash+water+tanks,#wash+watersource,#wash+wastedisposal,#shelter+contracttype
53284-01-021,Youmine 021,Bekaa,Baalbek,Youmine,,34.1082,36.2241,IS- Informal Settlement,Active,4,23,2/3/16,Medair,First Update - 2016,4/25/14,12/19/13,2,0,Others,Municipality Collection,Verbal
53284-01-022,Youmine 022,Bekaa,Baalbek,Youmine,,34.1305,36.2556,IS- Informal Settlement,Active,17,103,2/3/16,Medair,First Update - 2016,4/25/14,2/19/14,6,2,Others,Municipality Collection,Verbal
53284-01-023,Youmine 023,Bekaa,Baalbek,Youmine,,34.105,36.2207,IS- Informal Settlement,Active,30,197,2/4/16,Medair,First Update - 2016,3/20/14,2/20/11,18,22,Water Trucking,Municipality Collection,Verbal
53284-01-024,Youmine 024,Bekaa,Baalbek,Youmine,,34.1196,36.2301,IS- Informal Settlement,Active,7,49,2/4/16,Medair,First Update - 2016,4/29/14,10/20/13,5,7,Water Trucking,Dump it outside the camp,Verbal
53284-01-027,Youmine 027,Bekaa,Baalbek,Youmine,,34.1297,36.2494,IS- Informal Settlement,Active,14,75,2/3/16,Medair,First Update - 2016,4/25/14,5/20/11,6,8,Water Trucking,Burn it,Verbal
53284-01-028,Youmine 028,Bekaa,Baalbek,Youmine,,34.1308,36.2528,IS- Informal Settlement,Active,9,41,2/3/16,Medair,First Update - 2016,4/25/14,8/20/13,3,8,Borehole,Burn it,Verbal
53284-01-031,Youmine 031,Bekaa,Baalbek,Youmine,,34.1298,36.2476,IS- Informal Settlement,Active,19,100,2/4/16,Medair,First Update - 2016,4/25/14,3/24/12,15,15,Water Trucking,Burn it,Verbal
53284-01-032,Youmine 032,Bekaa,Baalbek,Youmine,,34.1339,36.263,IS- Informal Settlement,Less than 4,2,19,2/3/16,Medair,First Update - 2016,8/19/14,9/16/13,1,1,Water Trucking,Municipality Collection,Verbal
53284-01-034,Youmine 034,Bekaa,Baalbek,Youmine,,34.1143,36.2277,IS- Informal Settlement,Less than 4,2,14,2/3/16,Medair,First Update - 2016,8/21/14,9/19/13,1,0,Borehole,Dump it outside the camp,Verbal
53284-01-035,Youmine 035,Bekaa,Baalbek,Youmine,,34.1048,36.2222,IS- Informal Settlement,Active,6,40,2/3/16,Medair,First Update - 2016,8/19/14,9/19/13,2,6,Water Trucking,Municipality Collection,Verbal
53284-01-036,Youmine 036,Bekaa,Baalbek,Youmine,,34.1335,36.2682,IS- Informal Settlement,Less than 4,3,14,2/3/16,Medair,First Update - 2016,7/15/14,6/15/14,1,1,Borehole,Burn it,None
53284-01-037,Youmine 037,Bekaa,Baalbek,Youmine,,34.1326,36.2589,IS- Informal Settlement,Less than 4,1,11,2/3/16,Medair,First Update - 2016,8/19/14,2/26/13,1,1,Water Trucking,Municipality Collection,None
53284-01-038,Youmine 038,Bekaa,Baalbek,Youmine,,34.1091,36.2227,IS- Informal Settlement,Active,6,28,2/4/16,Medair,First Update - 2016,8/19/14,8/18/14,3,1,Borehole,Municipality Collection,Verbal
53284-01-039,Youmine 039,Bekaa,Baalbek,Youmine,,34.1063,36.2214,IS- Informal Settlement,Active,11,68,2/4/16,Medair,First Update - 2016,8/19/14,8/18/14,3,7,Borehole,Burn it,Verbal
53284-01-042,Youmine 042,Bekaa,Baalbek,Youmine,,34.1317,36.2767,IS- Informal Settlement,Active,4,28,2/3/16,Medair,First Update - 2016,12/2/14,7/15/14,1,1,Borehole,Burn it,None
53284-01-044,Youmine 044,Bekaa,Baalbek,Youmine,,34.1314,36.2579,IS- Informal Settlement,Active,5,25,2/14/16,Medair,First Update - 2016,3/24/15,2/26/13,6,5,Borehole,Municipality Collection,Verbal
53284-01-046,Youmine 046,Bekaa,Baalbek,Youmine,,34.1052,36.2201,IS- Informal Settlement,Active,6,39,2/4/16,Medair,First Update - 2016,3/24/15,3/26/12,3,2,Water Trucking,Municipality Collection,Verbal
53284-01-047,Youmine 047,Bekaa,Baalbek,Youmine,,34.1082,36.2222,IS- Informal Settlement,Active,10,62,2/4/16,Medair,First Update - 2016,3/24/15,6/7/13,2,2,Water Trucking,Municipality Collection,Verbal
53284-01-048,Youmine 048,Bekaa,Baalbek,Youmine,,34.1203,36.2312,IS- Informal Settlement,Active,5,33,2/4/16,Medair,First Update - 2016,3/24/15,3/11/14,2,1,Water Trucking,Burn it,Verbal
53284-01-049,Youmine 049,Bekaa,Baalbek,Youmine,,34.1316,36.2537,IS- Informal Settlement,Less than 4,2,11,2/3/16,Medair,First Update - 2016,3/24/15,2/25/14,1,1,Others,Dump it outside the camp,None
53284-01-050,Youmine 050,Bekaa,Baalbek,Youmine,,34.1305,36.2509,IS- Informal Settlement,Less than 4,3,23,2/3/16,Medair,First Update - 2016,3/24/15,11/8/12,3,2,Water Trucking,Burn it,None
53284-01-051,Youmine 051,Bekaa,Baalbek,Youmine,,34.1011,36.2189,IS- Informal Settlement,Active,15,91,2/4/16,Medair,First Update - 2016,3/24/15,8/3/12,9,6,Water Trucking,Dump it outside the camp,None
53284-01-053,Youmine 053,Bekaa,Baalbek,Youmine,,34.1331,36.2505,IS- Informal Settlement,Less than 4,1,5,2/3/16,Medair,First Update - 2016,7/7/15,5/3/15,0,0,Water Trucking,Municipality Collection,Verbal
53284-01-054,Youmine 054,Bekaa,Baalbek,Youmine,,34.1116,36.2237,IS- Informal Settlement,Less than 4,3,12,2/4/16,Medair,First Update - 2016,7/7/15,6/7/15,1,0,Borehole,Dump it outside the camp,Verbal
53284-01-056,Youmine 056,Bekaa,Baalbek,Youmine,,34.1253,36.2564,IS- Informal Settlement,Less than 4,2,7,2/3/16,Medair,First Update - 2016,7/6/15,3/15/15,1,1,Borehole,Burn it,Verbal
53284-01-057,Youmine 057,Bekaa,Baalbek,Youmine,,34.1236,36.2404,IS- Informal Settlement,Active,18,130,2/3/16,Medair,First Update - 2016,7/6/15,6/3/15,10,12,Others,Municipality Collection,Verbal
53284-01-058,Youmine 058,Bekaa,Baalbek,Youmine,,34.1278,36.2583,IS- Informal Settlement,Active,4,29,2/3/16,Medair,First Update - 2016,7/6/15,9/24/14,1,1,Borehole,Burn it,Verbal
53284-01-059,Youmine 059,Bekaa,Baalbek,Youmine,,34.1097,36.223,IS- Informal Settlement,Active,6,48,2/4/16,Medair,First Update - 2016,9/1/15,8/14/15,2,3,Water Trucking,Dump it outside the camp,Verbal
53284-01-062,Youmine 062,Bekaa,Baalbek,Youmine,,34.10768,36.22192,IS- Informal Settlement,Active,16,85,2/4/16,Medair,First Update - 2016,11/16/15,7/16/15,8,11,Water Trucking,Municipality Collection,None
53284-01-063,Youmine 063,Bekaa,Baalbek,Youmine,,34.13025,36.2616,IS- Informal Settlement,Active,4,32,2/3/16,Medair,First Update - 2016,11/16/15,8/16/15,1,3,Others,Dump it outside the camp,None
53284-01-064,Youmine 064,Bekaa,Baalbek,Youmine,,34.12962,36.25199,IS- Informal Settlement,Less than 4,3,14,2/3/16,Medair,First Update - 2016,11/19/15,6/9/15,1,2,Others,Municipality Collection,Verbal
53284-01-065,Youmine 065,Bekaa,Baalbek,Youmine,,34.12968,36.25725,IS- Informal Settlement,Active,10,67,2/3/16,Medair,First Update - 2016,12/8/15,10/8/15,6,6,Borehole,Municipality Collection,Verbal
53284-01-066,Youmine 066,Bekaa,Baalbek,Youmine,,34.10286,36.2199,IS- Informal Settlement,Active,8,27,2/4/16,Medair,First Update - 2016,12/9/15,11/9/15,2,5,Water Trucking,Municipality Collection,Verbal
53311-01-005,Deir El-Ahmar 005,Bekaa,Baalbek,Deir El-Ahmar,,34.1056,36.1307,IS- Informal Settlement,Active,8,41,2/10/16,Medair,First Update - 2016,4/23/14,12/19/11,6,12,Water Trucking,Municipality Collection,Verbal
53311-01-007,Deir El-Ahmar 007,Bekaa,Baalbek,Deir El-Ahmar,,34.1054,36.1513,IS- Informal Settlement,Active,5,26,2/10/16,Medair,First Update - 2016,4/23/14,3/21/11,2,4,Water Trucking,Dump it outside the camp,Verbal
53311-01-008,Deir El-Ahmar 008,Bekaa,Baalbek,Deir El-Ahmar,,34.1102,36.1315,IS- Informal Settlement,Active,9,54,2/9/16,Medair,First Update - 2016,4/23/14,11/21/13,8,15,Water Trucking,Municipality Collection,None
53311-01-009,Deir El-Ahmar 009,Bekaa,Baalbek,Deir El-Ahmar,,34.1155,36.1296,IS- Informal Settlement,Active,4,21,2/4/16,Medair,First Update - 2016,4/23/14,2/21/12,3,9,Water Trucking,Municipality Collection,None
53311-01-010,Deir El-Ahmar 010,Bekaa,Baalbek,Deir El-Ahmar,,34.1175,36.1231,IS- Informal Settlement,Active,5,19,2/4/16,Medair,First Update - 2016,4/23/14,11/21/12,3,4,Water Trucking,Municipality Collection,None
53311-01-011,Deir El-Ahmar 011,Bekaa,Baalbek,Deir El-Ahmar,,34.1138,36.1217,IS- Informal Settlement,Active,10,57,2/4/16,Medair,First Update - 2016,4/23/14,3/21/12,7,21,Water Trucking,Municipality Collection,None
53311-01-012,Deir El-Ahmar 012,Bekaa,Baalbek,Deir El-Ahmar,,34.1138,36.1214,IS- Informal Settlement,Active,20,104,2/4/16,Medair,First Update - 2016,4/23/14,1/21/12,20,34,Water Trucking,Municipality Collection,Verbal
53311-01-013,Deir El-Ahmar 013,Bekaa,Baalbek,Deir El-Ahmar,,34.1114,36.1213,IS- Informal Settlement,Active,8,38,2/4/16,Medair,First Update - 2016,4/23/14,9/21/12,5,6,Water Trucking,Municipality Collection,None
53311-01-014,Deir El-Ahmar 014,Bekaa,Baalbek,Deir El-Ahmar,,34.1062,36.1173,IS- Informal Settlement,Active,7,39,2/11/16,Medair,First Update - 2016,4/23/14,11/21/12,6,11,Water Trucking,Burn it,Verbal
53311-01-015,Deir El-Ahmar 015,Bekaa,Baalbek,Deir El-Ahmar,,34.1201,36.1385,IS- Informal Settlement,Active,37,176,2/4/16,Medair,First Update - 2016,4/23/14,1/24/11,34,43,Water Trucking,Municipality Collection,Verbal
53311-01-016,Deir El-Ahmar 016,Bekaa,Baalbek,Deir El-Ahmar,,34.1185,36.1372,IS- Informal Settlement,Active,7,27,2/4/16,Medair,First Update - 2016,4/23/14,12/24/12,3,4,Water Trucking,Burn it,None
53311-01-019,Deir El-Ahmar 019,Bekaa,Baalbek,Deir El-Ahmar,,34.1075,36.1309,IS- Informal Settlement,Active,4,24,2/9/16,Medair,First Update - 2016,8/19/14,8/4/14,4,4,Water Trucking,Dump it outside the camp,Verbal
53311-01-020,Deir El-Ahmar 020,Bekaa,Baalbek,Deir El-Ahmar,,34.1112,36.1326,IS- Informal Settlement,Active,11,55,2/9/16,Medair,First Update - 2016,2/12/15,12/7/14,9,9,Water Trucking,Municipality Collection,Written
53311-01-021,Deir El-Ahmar 021,Bekaa,Baalbek,Deir El-Ahmar,,34.1036,36.1215,IS- Informal Settlement,Active,5,28,2/11/16,Medair,First Update - 2016,2/1/15,10/11/14,2,0,Water Network,Burn it,Verbal
53311-01-022,Deir El-Ahmar 022,Bekaa,Baalbek,Deir El-Ahmar,,34.1131,36.1336,IS- Informal Settlement,Active,5,23,2/10/16,Medair,First Update - 2016,3/25/15,7/12/12,2,5,Water Trucking,Dump it outside the camp,Verbal
53311-01-023,Deir El-Ahmar 023,Bekaa,Baalbek,Deir El-Ahmar,,34.1042,36.1334,IS- Informal Settlement,Less than 4,2,10,2/10/16,Medair,First Update - 2016,3/25/15,3/6/13,2,1,Water Trucking,Burn it,Verbal
53311-01-024,Deir El-Ahmar 024,Bekaa,Baalbek,Deir El-Ahmar,,34.1049,36.1318,IS- Informal Settlement,Active,4,16,2/10/16,Medair,First Update - 2016,3/25/15,4/2/12,2,2,Water Trucking,Burn it,Verbal
53311-01-025,Deir El-Ahmar 025,Bekaa,Baalbek,Deir El-Ahmar,,34.0907,36.1248,IS- Informal Settlement,Less than 4,1,8,2/11/16,Medair,First Update - 2016,3/25/15,3/2/12,1,1,Water Trucking,Dump it outside the camp,Verbal
53311-01-026,Deir El-Ahmar 026,Bekaa,Baalbek,Deir El-Ahmar,,34.0902,36.1238,IS- Informal Settlement,Active,6,24,2/11/16,Medair,First Update - 2016,3/25/15,3/19/13,3,4,Water Trucking,Dump it outside the camp,Verbal
53311-01-027,Deir El-Ahmar 027,Bekaa,Baalbek,Deir El-Ahmar,,34.0903,36.1253,IS- Informal Settlement,Active,6,31,2/11/16,Medair,First Update - 2016,3/25/15,7/12/13,5,5,Water Trucking,Municipality Collection,Verbal
53311-01-028,Deir El-Ahmar 028,Bekaa,Baalbek,Deir El-Ahmar,,34.09,36.1253,IS- Informal Settlement,Active,12,86,2/11/16,Medair,First Update - 2016,3/25/15,4/2/13,11,11,Water Trucking,Dump it outside the camp,Verbal
53311-01-029,Deir El-Ahmar 029,Bekaa,Baalbek,Deir El-Ahmar,,34.1035,36.1295,IS- Informal Settlement,Less than 4,2,9,2/10/16,Medair,First Update - 2016,3/25/15,11/4/14,3,3,Water Trucking,Municipality Collection,None
53311-01-031,Deir El-Ahmar 031,Bekaa,Baalbek,Deir El-Ahmar,,34.1065,36.1331,IS- Informal Settlement,Active,14,86,2/9/16,Medair,First Update - 2016,3/25/15,2/28/15,9,13,Water Trucking,Burn it,Verbal
53311-01-033,Deir El-Ahmar 033,Bekaa,Baalbek,Deir El-Ahmar,,34.1056,36.1327,IS- Informal Settlement,Less than 4,3,8,2/10/16,Medair,First Update - 2016,3/25/15,3/18/13,1,3,Water Trucking,Municipality Collection,Verbal
53311-01-034,Deir El-Ahmar 034,Bekaa,Baalbek,Deir El-Ahmar,,34.1097,36.1339,IS- Informal Settlement,Active,12,47,2/9/16,Medair,First Update - 2016,3/25/15,4/1/13,0,0,Water Trucking,Burn it,Verbal
53311-01-035,Deir El-Ahmar 035,Bekaa,Baalbek,Deir El-Ahmar,,34.1076,36.1333,IS- Informal Settlement,Less than 4,3,23,2/9/16,Medair,First Update - 2016,3/25/15,1/22/13,4,4,Water Trucking,Burn it,Verbal
53311-01-036,Deir El-Ahmar 036,Bekaa,Baalbek,Deir El-Ahmar,,34.106,36.1159,IS- Informal Settlement,Active,5,30,2/11/16,Medair,First Update - 2016,3/29/15,3/19/14,5,7,Water Trucking,Burn it,Verbal
53311-01-037,Deir El-Ahmar 037,Bekaa,Baalbek,Deir El-Ahmar,,34.1074,36.1166,IS- Informal Settlement,Active,4,27,2/11/16,Medair,First Update - 2016,3/29/15,8/1/14,4,5,Spring,Municipality Collection,Verbal
53311-01-038,Deir El-Ahmar 038,Bekaa,Baalbek,Deir El-Ahmar,,34.1142,36.1244,IS- Informal Settlement,Active,12,70,2/4/16,Medair,First Update - 2016,3/29/15,4/11/14,5,13,Water Trucking,Dump it outside the camp,None
53311-01-039,Deir El-Ahmar 039,Bekaa,Baalbek,Deir El-Ahmar,,34.1128,36.1239,IS- Informal Settlement,Active,18,85,2/4/16,Medair,First Update - 2016,3/29/15,2/28/15,13,20,Water Trucking,Municipality Collection,Verbal
53311-01-040,Deir El-Ahmar 040,Bekaa,Baalbek,Deir El-Ahmar,,34.1153,36.1273,IS- Informal Settlement,Active,9,42,2/4/16,Medair,First Update - 2016,3/29/15,7/5/13,6,8,Water Trucking,Municipality Collection,None
53311-01-041,Deir El-Ahmar 041,Bekaa,Baalbek,Deir El-Ahmar,,34.1292,36.1269,IS- Informal Settlement,Less than 4,1,8,2/9/16,Medair,First Update - 2016,3/29/15,11/30/14,1,1,Water Trucking,Municipality Collection,Verbal
53311-01-042,Deir El-Ahmar 042,Bekaa,Baalbek,Deir El-Ahmar,,34.1146,36.1264,IS- Informal Settlement,Active,9,55,2/4/16,Medair,First Update - 2016,3/29/15,10/18/13,5,6,Water Trucking,Municipality Collection,None
53311-01-043,Deir El-Ahmar 043,Bekaa,Baalbek,Deir El-Ahmar,,34.0881,36.1258,IS- Informal Settlement,Less than 4,1,2,2/10/16,Medair,First Update - 2016,3/30/15,11/30/14,1,1,Water Trucking,Burn it,None
53311-01-044,Deir El-Ahmar 044,Bekaa,Baalbek,Deir El-Ahmar,,34.1172,36.1301,IS- Informal Settlement,Less than 4,2,9,2/4/16,Medair,First Update - 2016,5/6/15,3/11/13,1,0,Water Trucking,Burn it,None
53311-01-046,Deir El-Ahmar 046,Bekaa,Baalbek,Deir El-Ahmar,,34.1085,36.1335,IS- Informal Settlement,Active,6,31,2/9/16,Medair,First Update - 2016,5/11/15,7/11/14,5,7,Water Trucking,Dump it outside the camp,Verbal
53311-01-048,Deir El-Ahmar 048,Bekaa,Baalbek,Deir El-Ahmar,,34.1093,36.1337,IS- Informal Settlement,Active,5,26,2/9/16,Medair,First Update - 2016,5/11/15,5/15/14,3,3,Water Trucking,Burn it,Verbal
53311-01-049,Deir El-Ahmar 049,Bekaa,Baalbek,Deir El-Ahmar,,34.1126,36.1333,IS- Informal Settlement,Active,12,40,2/10/16,Medair,First Update - 2016,5/11/15,8/11/14,8,13,Water Trucking,Dump it outside the camp,None
53311-01-050,Deir El-Ahmar 050,Bekaa,Baalbek,Deir El-Ahmar,,34.11,36.1372,IS- Informal Settlement,Less than 4,3,12,2/10/16,Medair,First Update - 2016,5/11/15,5/15/14,2,5,Water Trucking,Dump it outside the camp,None
53311-01-051,Deir El-Ahmar 051,Bekaa,Baalbek,Deir El-Ahmar,,34.1146,36.134,IS- Informal Settlement,Active,4,17,2/10/16,Medair,First Update - 2016,5/11/15,4/27/14,2,5,Water Trucking,Dump it outside the camp,None
53311-01-052,Deir El-Ahmar 052,Bekaa,Baalbek,Deir El-Ahmar,,34.1052,36.1321,IS- Informal Settlement,Active,5,18,2/10/16,Medair,First Update - 2016,5/11/15,5/4/14,2,5,Water Trucking,Municipality Collection,Verbal
53311-01-053,Deir El-Ahmar 053,Bekaa,Baalbek,Deir El-Ahmar,,34.1155,36.1341,IS- Informal Settlement,Active,5,17,2/9/16,Medair,First Update - 2016,5/11/15,9/18/14,3,10,Water Trucking,Dump it outside the camp,None
53311-01-054,Deir El-Ahmar 054,Bekaa,Baalbek,Deir El-Ahmar,,34.1077,36.1167,IS- Informal Settlement,Less than 4,3,8,2/11/16,Medair,First Update - 2016,5/11/15,4/24/13,1,2,Borehole,Burn it,None
53311-01-055,Deir El-Ahmar 055,Bekaa,Baalbek,Deir El-Ahmar,,34.1055,36.118,IS- Informal Settlement,Active,13,77,2/11/16,Medair,First Update - 2016,5/11/15,7/18/13,7,11,Water Trucking,Dump it outside the camp,Verbal
53311-01-056,Deir El-Ahmar 056,Bekaa,Baalbek,Deir El-Ahmar,,34.1166,36.1264,IS- Informal Settlement,Active,4,26,2/4/16,Medair,First Update - 2016,7/5/15,5/15/13,3,6,Water Trucking,Municipality Collection,None
53311-01-057,Deir El-Ahmar 057,Bekaa,Baalbek,Deir El-Ahmar,,34.1118,36.1199,IS- Informal Settlement,Active,6,34,2/3/16,Medair,First Update - 2016,7/5/15,5/4/15,6,3,Water Trucking,Municipality Collection,None
53311-01-058,Deir El-Ahmar 058,Bekaa,Baalbek,Deir El-Ahmar,,34.1127,36.1236,IS- Informal Settlement,Active,5,30,2/4/16,Medair,First Update - 2016,7/5/15,5/11/14,5,5,Water Trucking,Burn it,None
53311-01-060,Deir El-Ahmar 060,Bekaa,Baalbek,Deir El-Ahmar,,34.1211,36.1325,IS- Informal Settlement,Less than 4,2,5,2/4/16,Medair,First Update - 2016,7/9/15,4/6/15,1,1,Water Trucking,Burn it,None
53311-01-061,Deir El-Ahmar 061,Bekaa,Baalbek,Deir El-Ahmar,,34.1228,36.139,IS- Informal Settlement,Less than 4,2,11,12/15/15,Medair,Last Update - 2015,7/15/15,6/14/14,2,2,Water Trucking,Burn it,None
53311-01-062,Deir El-Ahmar 062,Bekaa,Baalbek,Deir El-Ahmar,,34.1256,36.1406,IS- Informal Settlement,Active,4,18,2/4/16,Medair,First Update - 2016,7/15/15,5/31/15,4,5,Water Network,Municipality Collection,None
53311-01-063,Deir El-Ahmar 063,Bekaa,Baalbek,Deir El-Ahmar,,34.1256,36.1435,IS- Informal Settlement,Less than 4,3,19,2/4/16,Medair,First Update - 2016,7/16/15,5/15/14,2,3,Water Trucking,Burn it,None
53311-01-064,Deir El-Ahmar 064,Bekaa,Baalbek,Deir El-Ahmar,,34.1165,36.1429,IS- Informal Settlement,Less than 4,1,5,2/4/16,Medair,First Update - 2016,7/15/15,4/2/15,0,0,Water Trucking,Burn it,None
53311-01-065,Deir El-Ahmar 065,Bekaa,Baalbek,Deir El-Ahmar,,34.1197,36.1366,IS- Informal Settlement,Active,6,18,2/4/16,Medair,First Update - 2016,7/14/15,5/4/15,6,4,Borehole,Municipality Collection,Verbal
53311-01-067,Deir El-Ahmar 067,Bekaa,Baalbek,Deir El-Ahmar,,34.106,36.1248,IS- Informal Settlement,Less than 4,2,12,2/4/16,Medair,First Update - 2016,8/25/15,5/15/15,0,0,Water Network,Municipality Collection,Verbal
53311-01-068,Deir El-Ahmar 068,Bekaa,Baalbek,Deir El-Ahmar,,34.11047,36.11451,IS- Informal Settlement,Less than 4,1,9,2/11/16,Medair,First Update - 2016,9/28/15,8/2/15,1,2,Borehole,Municipality Collection,None
53311-01-069,Deir El-Ahmar 069,Bekaa,Baalbek,Deir El-Ahmar,,34.11043,36.13428,IS- Informal Settlement,Active,32,191,2/9/16,Medair,First Update - 2016,11/9/15,10/28/15,12,13,Water Trucking,Dump it outside the camp,Written
53311-01-070,Deir El-Ahmar 070,Bekaa,Baalbek,Deir El-Ahmar,,34.08977,36.12644,IS- Informal Settlement,Less than 4,1,6,2/10/16,Medair,First Update - 2016,11/8/15,10/9/15,1,1,Water Trucking,Burn it,None
53311-01-071,Deir El-Ahmar 071,Bekaa,Baalbek,Deir El-Ahmar,,34.10981,36.13567,IS- Informal Settlement,Less than 4,1,3,12/15/15,Medair,Last Update - 2015,12/6/15,11/1/15,1,1,Water Trucking,Municipality Collection,None
53311-01-072,Deir El-Ahmar 072,Bekaa,Baalbek,Deir El-Ahmar,,34.10875,36.1139,IS- Informal Settlement,Less than 4,1,0,2/11/16,Medair,First Update - 2016,12/15/15,12/11/15,0,0,Borehole,Dump it outside the camp,Verbal
53311-01-073,Deir El-Ahmar 073,Bekaa,Baalbek,Deir El-Ahmar,new,34.10625,36.1282,IS- Informal Settlement,Less than 4,2,7,2/4/16,Medair,First Update - 2016,2/4/16,12/4/15,2,2,Water Network,Municipality Collection,None
53311-01-074,Deir El-Ahmar 074,Bekaa,Baalbek,Deir El-Ahmar,,34.1229,36.13919,IS- Informal Settlement,Less than 4,2,12,2/3/16,Medair,First Update - 2016,2/3/16,1/14/16,4,2,Borehole,Burn it,None
53311-01-075,Deir El-Ahmar 075,Bekaa,Baalbek,Deir El-Ahmar,new,34.13795,36.15461,IS- Informal Settlement,Active,5,20,2/4/16,Medair,First Update - 2016,2/4/16,11/4/15,0,5,Water Trucking,Municipality Collection,None
53311-01-076,Deir El-Ahmar 076,Bekaa,Baalbek,Deir El-Ahmar`,,34.13654,36.15905,IS- Informal Settlement,Less than 4,3,13,2/3/16,Medair,First Update - 2016,2/3/16,10/11/15,0,4,Borehole,Municipality Collection,None
53311-01-077,Deir El-Ahmar 077,Bekaa,Baalbek,Deir El-Ahmar,,34.10656,36.13325,IS- Informal Settlement,Active,4,25,2/9/16,Medair,First Update - 2016,2/9/16,1/5/16,2,4,Water Trucking,Dump it outside the camp,Verbal
53333-01-002,Bechouat 002,Bekaa,Baalbek,Bechouat,,34.1462,36.1438,IS- Informal Settlement,Active,4,17,2/9/16,Medair,First Update - 2016,4/23/14,12/24/13,4,4,Water Trucking,Municipality Collection,Verbal
53333-01-003,Bechouat 003,Bekaa,Baalbek,Bechouat,,34.1458,36.1416,IS- Informal Settlement,Less than 4,1,10,2/9/16,Medair,First Update - 2016,4/23/14,4/19/14,1,2,Water Trucking,Dump it outside the camp,Verbal
53333-01-004,Bechouat 004,Bekaa,Baalbek,Bechouat,,34.1461,36.1445,IS- Informal Settlement,Active,4,11,2/9/16,Medair,First Update - 2016,3/29/15,4/1/13,3,3,Water Trucking,Municipality Collection,Verbal
53333-01-005,Bechouat 005,Bekaa,Baalbek,Bechouat,,34.14617,36.14207,IS- Informal Settlement,Less than 4,2,7,2/9/16,Medair,First Update - 2016,12/6/15,11/28/15,0,1,Others,Municipality Collection,None
53375-01-001,Btedaai 001,Bekaa,Baalbek,Btedaai,Deir el Ahmar Caritas,34.091,36.1252,IS- Informal Settlement,Less than 4,3,16,2/11/16,Medair,First Update - 2016,4/23/14,12/19/12,3,1,Water Trucking,Dump it outside the camp,None
53375-01-005,Btedaai 005,Bekaa,Baalbek,Btedaai,,34.1022,36.1136,IS- Informal Settlement,Active,15,79,2/4/16,Medair,First Update - 2016,4/20/14,12/21/13,10,15,Water Trucking,Burn it,None
53375-01-006,Btedaai 006,Bekaa,Baalbek,Btedaai,,34.1036,36.1069,IS- Informal Settlement,Active,7,35,2/4/16,Medair,First Update - 2016,3/21/14,2/21/14,6,5,Others,Burn it,Verbal
53375-01-007,Btedaai 007,Bekaa,Baalbek,Btedaai,,34.1109,36.109,IS- Informal Settlement,Active,14,71,2/4/16,Medair,First Update - 2016,7/21/14,1/21/12,6,9,Borehole,Municipality Collection,None
53375-01-008,Btedaai 008,Bekaa,Baalbek,Btedaai,,34.1136,36.0836,IS- Informal Settlement,Active,5,29,2/18/16,Medair,First Update - 2016,3/21/14,10/21/13,5,5,Others,Dump it outside the camp,None
53375-01-009,Btedaai 009,Bekaa,Baalbek,Btedaai,,34.1166,36.0839,IS- Informal Settlement,Active,5,31,2/18/16,Medair,First Update - 2016,6/5/14,1/21/13,3,4,Others,Dump it outside the camp,None
53375-01-011,Btedaai 011,Bekaa,Baalbek,Btedaai,,34.104,36.1136,IS- Informal Settlement,Less than 4,3,17,2/4/16,Medair,First Update - 2016,7/21/14,7/21/12,3,3,Spring,Municipality Collection,None
53375-01-013,Btedaai 013,Bekaa,Baalbek,Btedaai,,34.0977,36.1279,IS- Informal Settlement,Less than 4,1,2,2/4/16,Medair,First Update - 2016,8/19/14,7/5/14,1,1,Water Trucking,Municipality Collection,Verbal
53375-01-014,Btedaai 014,Bekaa,Baalbek,Btedaai,,34.1051,36.1094,IS- Informal Settlement,Active,4,18,2/4/16,Medair,First Update - 2016,3/25/15,12/14/13,1,5,Others,Burn it,None
53375-01-015,Btedaai 015,Bekaa,Baalbek,Btedaai,,34.1053,36.1098,IS- Informal Settlement,Active,6,33,2/4/16,Medair,First Update - 2016,3/25/15,10/2/13,5,7,Others,Burn it,Verbal
53375-01-016,Btedaai 016,Bekaa,Baalbek,Btedaai,,34.1056,36.1095,IS- Informal Settlement,Active,6,26,2/4/16,Medair,First Update - 2016,3/25/15,10/3/12,5,4,Others,Burn it,Verbal
53375-01-017,Btedaai 017,Bekaa,Baalbek,Btedaai,,34.1069,36.1111,IS- Informal Settlement,Less than 4,1,0,2/4/16,Medair,First Update - 2016,3/25/15,3/26/13,0,0,,,
53375-01-019,Btedaai 019,Bekaa,Baalbek,Btedaai,,34.1042,36.1076,IS- Informal Settlement,Less than 4,2,12,2/4/16,Medair,First Update - 2016,3/25/15,12/14/12,1,2,Others,Burn it,None
53375-01-020,Btedaai 020,Bekaa,Baalbek,Btedaai,,34.0965,36.1247,IS- Informal Settlement,Less than 4,3,17,2/4/16,Medair,First Update - 2016,3/25/15,12/24/13,3,2,Others,Dump it outside the camp,Verbal
